Ville,Évènements,Date,Victimes,Capture,Comment
Odesa,Bombardement,"23,04,2022",18,,
Mariupol,Combats,"23,04,2022",,,
Kharkiv,Artillerie russe,"23,04,2022",2,,
Oleksandrivka,combats,"23,04,2022",,,
Chornobayivka,Artillerie Ukrainienne,"23,04,2022",3,,
Lyman,Artillerie russe,"23,04,2022",,,
Popasna,Artillerie russe,"23,04,2022",,,
Avdiyivka,Artillerie russe,"23,04,2022",,,
Petrivs'ke,combats,"23,04,2022",,,
Zolote,Artillerie russe,"23,04,2022",6,,
Yats'kivka ,combats,"23,04,2022",,,
Zarichne,combats,"23,04,2022",,,
Derhachi,Artillerie russe,"23,04,2022",3,,
Sen’kivka,Artillerie russe,"23,04,2022",0,,
Prudyanka,combats,"23,04,2022",,Ukraine,
Mariupol,Artillerie russe,"23,04,2022",,,
Odesa,Bombardement,"23,04,2022",,,
Hurlivka,Artillerie russe,"23,04,2022",,,
Vynohradne,Fosse commune,"23,04,2022",,,
Zelenyi Hai,Combats,"23,04,2022",,,
Barvinok,Combats,"23,04,2022",,Ukraine,
Kyselivka,Combats,"23,04,2022",,Ukraine,
Velikaya Novoselka,Combats,"23,04,2022",,Russie,
Korotychi,Artillerie russe,"23,04,2022",,,
Kurulka,Artillerie russe,"23,04,2022",,,
Husarivka,Artillerie russe,"23,04,2022",,,
Barvinkove,Combats,"23,04,2022",,,
Popasna,Combats,"23,04,2022",,,
Rubizhne,Combats,"23,04,2022",,,
Marinka,Artillerie russe,"23,04,2022",,,
Malynivka,Aéronef abattu,"21,04,2022",,,
Atynske,Artillerie russe,"23,04,2022",,,
Pavlohrad,Bombardement,"23,04,2022",,,
Posad-Pokrovs'ke,Artillerie Ukrainienne,"23,04,2022",,,
Avdiyivka,Artillerie russe,"24,04,2022",,,
Mariupol,Artillerie russe,"24,04,2022",,,
Novosibirsk,Dissidence,"23,04,2022",,,
Mariupol,Combats,"24,04,2022",,,
Ocheretyne,Artillerie russe,"24,04,2022",2,,
Popasna,Combats,"24,04,2022",,,
Chuhuiv,Artillerie russe,"24,04,2022",,,
Kalynove,Artillerie russe,"24,04,2022",1,,
Borivske,Combats,"24,04,2022",,,
Zarichne,Combats,"24,04,2022",,Russie,
Yampil,Combats,"24,04,2022",,,
Gomel,Mouvement de troupes,"24,04,2022",,,
Rubizhne,Combats,"24,04,2022",,Ukraine,
Marinka,Combats,"24,04,2022",,Ukraine,
Pashovke,Combats,"24,04,2022",,Ukraine,
Dovgenke,Combats,"24,04,2022",,Ukraine,
Velyka Komyshuvakha,Combats,"24,04,2022",,Ukraine,
Yats'kivka ,Combats,"24,04,2022",,Ukraine,
Orikhove,Combats,"24,04,2022",,Ukraine,
Nyzhne,Combats,"24,04,2022",,Ukraine,
Novomykhailivka,Combats,"24,04,2022",,Ukraine,
Marinka,Combats,"24,04,2022",,Ukraine,
Vremivka,Combats,"24,04,2022",,Ukraine,
Molodets’ke,Mouvement de troupes,"24,04,2022",,Russie,
Kremenchuk,Bombardement,"24,04,2022",,,
Lozove,combats,"24,04,2022",,Russie,
Novotoshikivs’ke,Combats,"25,04,2022",,Russie,
Orikhove,Combats,"25,04,2022",,Russie,
Nyzhne,Combats,"25,04,2022",,Russie,
Kurulka,Combats,"25,04,2022",,Russie,
Koroviy Yar,Combats,"25,04,2022",,Ukraine,
Rubizhne,Combats,"25,04,2022",,Ukraine,
Mariupol,Combats,"25,04,2022",,,
Zhmerynka,Bombardement,"25,04,2022",,,
Kozyatyn,Bombardement,"25,04,2022",,,
Blahodatne,Combats,"25,04,2022",,Ukraine,
Kyselivka,Combats,"25,04,2022",,Ukraine,
Klapaya,Combats,"25,04,2022",,Ukraine,
Krasne,Bombardement,"25,04,2022",,,
Borovskoye,Aéronef abattu,"25,04,2022",,,
Kletnya,Incident,"25,04,2022",,,
Bryansk,Incident,"25,04,2022",,,
Balakliya,Aéronef abattu,"25,04,2022",,,
Vovchansk,Crime de guerre,"25,04,2022",,,
Yats'kivka ,Combats,"25,04,2022",,,
Zarichne,Combats,"25,04,2022",,,
kreminna,Mouvement de troupes,"25,04,2022",,,
Bryansk,Mouvement de troupes,"25,04,2022",,,
Stary Krym,Fosse commune,"25,04,2022",,,
Bilopillia,Artillerie russe,"25,04,2022",0,,
Simferopol,Mouvement de troupes,"25,04,2022",,,
Lyman,Artillerie russe,"25,04,2022",,,
Odesa,Bombardement,"25,04,2022",0,,
Kharkiv,Artillerie russe,"25,04,2022",4,,
Makiivka,Passage aérien,"25,04,2022",,,
Rostov,Passage aérien,"25,04,2022",,,
Dibrovne,Combats,"25,04,2022",,Russie,
Zavody,Combats,"26,04,2022",,Ukraine,
Popasna,Combats,"26,04,2022",,,
Rubizhne,Combats,"26,04,2022",,,
Avdiyivka,Combats,"26,04,2022",,,
Trudolyubivka,Combats,"26,04,2022",,,
Novomykhailivka,Combats,"26,04,2022",,,
Marinka,Combats,"26,04,2022",,,
Mariupol,Combats,"26,04,2022",,,
Snihuvira,Combats,"26,04,2022",,,
Krymky,Combats,"26,04,2022",,,
Dibrovne,Combats,"26,04,2022",,,
Spivakivka,Combats,"26,04,2022",,Russie,
Zarechnoye,Combats,"26,04,2022",,,
Novotoshikivs’ke,Combats,"26,04,2022",,,
Velyka Oleksandrivka,Artillerie Ukrainienne,"26,04,2022",,,
Novovorontsovka,Artillerie russe,"26,04,2022",,,
Makiivka,Artillerie russe,"26,04,2022",,,
Odesa,Passage aérien,"26,04,2022",,,
Shyroke,Combats,"26,04,2022",,Ukraine,
Lyubyne,Combats,"26,04,2022",,Ukraine,
Novopetrivka,Combats,"26,04,2022",,Ukraine,
Zhuravleka,Artillerie Ukrainienne,"26,04,2022",,,
Oleksandrivka,Combats,"26,04,2022",,Russie,
Mayak,Incident,"26,04,2022",,,
Pont de Zatoka,Bombardement,"26,04,2022",,,
Kozarovychi,Bombardement,"26,04,2022",,,
Mariupol,Bombardement,"26,04,2022",,,
Rybnitsa,Mouvement de troupes,"26,04,2022",,,
Staraya Nelidovka,Bombardement,"26,04,2022",,,
Irmino,Artillerie Ukrainienne,"25,04,2022",,,
Zelenodosk,Artillerie russe,"26,04,2022",,,
Maryanske,Artillerie russe,"26,04,2022",,,
Velyka Kostromka,Artillerie russe,"26,04,2022",,,
Poltava,Bombardement,"25,04,2022",,,
Voronezh,Aéronef abattu,"26,04,2022",,,
Tavriyskoye,Combats,"26,04,2022",,Ukraine,
Nova Zorya,Combats,"26,04,2022",,Ukraine,
Hulyaipole,Combats,"26,04,2022",,Ukraine,
Slobozhansky ,Mouvement de troupes,"26,04,2022",,Russie,
Velyka Komyshuvakha ,Combats,"26,04,2022",,,
Zavody,Combats,"26,04,2022",,Russie,
Izyum,Mouvement de troupes,"26,04,2022",,Russie,
Zarichne,Combats,"26,04,2022",,Russie,
Yampil,Combats,"26,04,2022",,,
Kyselivka,Crime de guerre,"26,04,2022",,,
Pont de Zatoka,Bombardement,"26,04,2022",,Ukraine,
Polohy,Combats,"26,04,2022",,Russie,Centre-sud
Fedorivka,Combats,"26,04,2022",,Ukraine,"Centre-sud, à confirmer pour la capture"
Mariupol,Combats,"26,04,2022",,Contesté,
Odesa,Bombardement,"26,04,2022",,Ukraine,
Kherson,Dissidence,"27,04,2022",,Russie,
Staromaiors'ke,Combats,"27,04,2022",,Contesté,Donestk
Cobasna,Bombardement,"27,04,2022",,Russie,moldavie
Kursk,Aéronef abattu,"27,04,2022",,Russie,
Zaporizhia,Bombardement,"27,04,2022",,Ukraine,
Belgorod,Dissidence,"27,04,2022",,Russie,
Kryvyi Rih,Bombardement,"27,04,2022",,Ukraine,
Barvinkove,Combats,"27,04,2022",,Ukraine,
Kupiansk,Mouvement de troupes,"27,04,2022",,Russie,
Donetsk,Passage aérien,"27,04,2022",,Russie,
Kamyana Mohyla,Mouvement de troupes,"27,04,2022",,Russie,"Archéo, défenses russes"
Kozinsky,Aéronef abattu,"27,04,2022",,Russie,Russie
Velyka Lepetykha,Crime de guerre,"27,04,2022",,Russie,Camp de filtration
Severodonetsk,Artillerie russe,"27,04,2022",1,Ukraine,
Orikhiv,Artillerie russe,"27,04,2022",,Ukraine,
Izyum,Mouvement de troupes,"27,04,2022",,Russie,
Tiraspol,Incident,"27,04,2022",,Russie,
Kharkiv,Artillerie russe,"27,04,2022",,Ukraine,
Derhachi,Artillerie russe,"27,04,2022",,Ukraine,
Prudyanka,Artillerie russe,"27,04,2022",,Ukraine,
Nova Dmytrivka,Combats,"27,04,2022",,Contesté,
Kurakhovo,Combats,"27,04,2022",,Ukraine,
Mariupol,Combats,"27,04,2022",,Contesté,
Levkivka,Mouvement de troupes,"27,04,2022",,Russie,
Yampil,Combats,"27,04,2022",,Contesté,
Marinka,Artillerie russe,"27,04,2022",,Ukraine,
Kutuzivka,Combats,"28,04,2022",,Ukraine,Kharkiv
Levkivka,Combats,"28,04,2022",,Russie,
Ivanivka,Combats,"28,04,2022",,Russie,
Shchaslyve,Combats,"28,04,2022",,Russie,
Tavriyskoye,Combats,"28,04,2022",,Russie,
Oleksandrivka,Combats,"28,04,2022",,Contesté,
Oleksandrivka,Artillerie russe,"28,04,2022",,Contesté,
Nova Zorya,Artillerie russe,"28,04,2022",,Ukraine,
Stanislav,Mouvement de troupes,"28,04,2022",,Russie,
Molodets’ke,Mouvement de troupes,"28,04,2022",,Russie,
Rubizhne,Combats,"28,04,2022",,Ukraine,
Popasna,Combats,"28,04,2022",,Ukraine,
Donetsk,Artillerie Ukrainienne,"28,04,2022",,Russie,
Vasylivka,Crime de guerre,"28,04,2022",,Russie,zaporizhia
Borivske,Artillerie russe,"28,04,2022",,Ukraine,
New York,Artillerie russe,"28,04,2022",,Ukraine,
Yats'kivka ,Combats,"28,04,2022",,Russie,
Krymky,Combats,"28,04,2022",,Russie,
Koroviy Yar,Combats,"28,04,2022",,Contesté,
Yampil,Combats,"28,04,2022",,Ukraine,
Saratov,Aéronef abattu,"28,04,2022",,Russie,Russie
Zavody,Combats,"28,04,2022",,Russie,
Velyka Komyshuvakha,Combats,"28,04,2022",,Contesté,
Zarichne,Combats,"28,04,2022",,Russie,
Nyzhne,Combats,"28,04,2022",,Ukraine,
Orikhove,Combats,"28,04,2022",,Ukraine,
Novotoshikivs’ke,Mouvement de troupes,"28,04,2022",,Russie,
Zolote,Combats,"28,04,2022",,Ukraine,
Dovgenke,Combats,"28,04,2022",,Contesté,
Nova Dmytrivka,Combats,"28,04,2022",,Contesté,
Virnopillya,Combats,"28,04,2022",,Contesté,
Kyselivka,Combats,"28,04,2022",,Contesté,
Nova Zorya,Combats,"28,04,2022",,Ukraine,
Baranovichi,Passage aérien,"28,04,2022",,Russie,biélorussie ?
Brazhkivka,Combats,"28,04,2022",,Ukraine,
Solodke,Combats,"28,04,2022",,Ukraine,
Novomykhailivka,Combats,"28,04,2022",,Ukraine,
Neskuchne,Combats,"28,04,2022",,Ukraine,
Vremivka,Combats,"28,04,2022",,Ukraine,
Yakimivka,Incident,"28,04,2022",,Russie,
Kyiv,Bombardement,"28,04,2022",,Ukraine,
Kirovsky,Artillerie Ukrainienne,"29,04,2022",,Russie,
Voronezh,Incident,"29,04,2022",,Russie,
Kozacha Lopan,Combats,"29,04,2022",,Russie,Kharkiv
Velyka Novosilka,Combats,"29,04,2022",,Ukraine,
Novopil,Combats,"29,04,2022",,Ukraine,
Ruska Lozova,Combats,"29,04,2022",,Ukraine,
Kutuzivka,Combats,"29,04,2022",,Ukraine,
Lisne,Mouvement de troupes,"29,04,2022",,Ukraine,
Fastov,Bombardement,"29,04,2022",,Ukraine,
Yehorivka,Artillerie Ukrainienne,"29,04,2022",,Ukraine,Donestk
Kutuzivka,Combats,"29,04,2022",,Ukraine,
Popasna,Combats,"29,04,2022",,Ukraine,
Rubizhne,Combats,"29,04,2022",,Contesté,
Kurakhovo,Mouvement de troupes,"29,04,2022",,Ukraine,
Orikhiv,Combats,"29,04,2022",,Ukraine,
Kyselivka,Incident,"29,04,2022",,Russie,
Brazhkivka,Combats,"29,04,2022",,Ukraine,
Dovgenke,Combats,"29,04,2022",,Ukraine,
Velyka Komyshuvakha,Combats,"29,04,2022",,Ukraine,
Zabavne,Bombardement,"29,04,2022",,Russie,PC russe
Nova Dmytrivka,Combats,"29,04,2022",,Ukraine,
Pashovke,Combats,"29,04,2022",,Ukraine,
Oskil,Combats,"30,04,2022",,Russie,
Yats'kivka ,Mouvement de troupes,"30,04,2022",,Russie,
Krymky,Mouvement de troupes,"30,04,2022",,Russie,
Koroviy Yar,Combats,"30,04,2022",,Ukraine,
Lyman,Combats,"30,04,2022",,Ukraine,
Yampil,Combats,"30,04,2022",,Ukraine,
Rubizhne,Combats,"30,04,2022",,Ukraine,
Momotove,Combats,"29,04,2022",,Ukraine,
Tamarovka,Incident,"01,05,2022",,Russie,Russie
Saratov,Mouvement de troupes,"30,04,2022",,Russie,
Stary Saltov,Combats,"01,05,2022",,Ukraine,Kharkiv
Lyman,Artillerie russe,"01,05,2022",,Ukraine,
Sudza,Incident,"01,05,2022",,Russie,"Rusie, pont ferroviaire"
Nova Zorya,Combats,"30,04,2022",,Ukraine,
Tavriyskoye,Combats,"30,04,2022",,Contesté,
Kyselivka,Combats,"30,04,2022",,Russie,
Snihuvira,Combats,"30,04,2022",,Russie,
Myrolubivka,Combats,"30,04,2022",,Russie,Kherson
Soldatske,Combats,"30,04,2022",,Ukraine,
Blahodatne,Combats,"30,04,2022",,Ukraine,
Oleksandrivka,Combats,"30,04,2022",,Ukraine,
Prelesne,Combats,"30,04,2022",,Ukraine,
Slobidske,Combats,"30,04,2022",,Ukraine,
Sorokivka,Combats,"30,04,2022",,Ukraine,
Verkhnya Rohanka,Combats,"30,04,2022",,Ukraine,
Dovgenke,Combats,"30,04,2022",,Ukraine,
Drobysheve,Mouvement de troupes,"30,04,2022",,Ukraine,
Lyman,Mouvement de troupes,"30,04,2022",,Ukraine,
Yampil,Mouvement de troupes,"30,04,2022",,Ukraine,
Novotoshikivs’ke,Mouvement de troupes,"30,04,2022",,Russie,
Orikhove,Combats,"30,04,2022",,Ukraine,
Kharkiv,Artillerie russe,"30,04,2022",,Ukraine,
Oskil,Combats,"01,05,2022",,Russie,
Velyka Novosilka,Mouvement de troupes,"01,05,2022",,Ukraine,
Marinka,Combats,"01,05,2022",,Ukraine,
Zelene Pole,Combats,"01,05,2022",,Ukraine,Donestk
Vremivka,Combats,"01,05,2024",,Ukraine,
Koroviy Yar,Combats,"01,05,2022",,Russie,
Rubizhne,Combats,"01,05,2022",,Ukraine,
Popasna,Combats,"01,05,2022",,Ukraine,
Yampil,Combats,"01,05,2022",,Ukraine,
Orikhiv,Combats,"01,05,2022",,Ukraine,
Hulyaipole,Combats,"01,05,2022",,Ukraine,
Kamyanske,Combats,"01,05,2022",,Ukraine,zaporizhia
Tver,Dissidence,"01,05,2022",,Russie,
île des serpents,Bombardement,"01,05,2022",,Russie,
île des serpents,Navire coulé,"02,05,2022",,Russie,
Marinka,Combats,"02,05,2022",,Ukraine,
Vremivka,Combats,"02,05,2022",,Ukraine,
Zelene Pole,Combats,"02,05,2022",,Ukraine,
Sulyhivka,Artillerie Ukrainienne,"02,05,2022",,Russie,
Odesa,Passage aérien,"02,05,2022",,Ukraine,
Odesa,Aéronef abattu,"02,05,2022",,Ukraine,
Tavriyskoye,Artillerie russe,"01,05,2022",,Ukraine,
Knyazivka,Artillerie russe,"01,05,2022",,Ukraine,Kherson
Trudolyubivka,Artillerie russe,"01,05,2022",,Ukraine,
Osokorivka,Artillerie russe,"01,05,2022",,Ukraine,Kherson
Hulyaipole,Artillerie Ukrainienne,"02,05,2022",,Ukraine,
Ruska Lozova,Combats,"02,05,2022",,Ukraine,
Ivanivka,Combats,"02,05,2022",,Ukraine,
Zahradivka,Combats,"02,05,2022",,Ukraine,
Lyman,Bombardement,"02,05,2022",,Ukraine,Donestk
Lyman,Combats,"02,05,2022",,Ukraine,
Ozerene,Combats,"02,05,2022",,Ukraine,proche lyman
Dibrova,Combats,"02,05,2022",,Ukraine,proche lyman
Yampil,Combats,"02,05,2022",,Contesté,
Stavky,Combats,"02,05,2022",,Ukraine,proche lyman
Kharkiv,Artillerie russe,"02,05,2022",,Ukraine,
Rubizhne,Combats,"02,05,2022",,Ukraine,
Popasna,Combats,"02,05,2022",,Ukraine,
Stary Saltov,Combats,"02,05,2022",,Contesté,
Mariupol,Artillerie russe,"02,05,2022",,Contesté,
Tokmak,Mouvement de troupes,"02,05,2022",,Russie,zaporizhia
Orikhiv,Artillerie russe,"02,05,2022",,Ukraine,
Mykolaïv,Artillerie russe,"02,05,2022",,Ukraine,
Moscou,Dissidence,"02,05,2022",,Russie,
Popasna,Bombardement,"02,05,2022",,Ukraine,
Boguchar,Mouvement de troupes,"02,05,2022",,Russie,
Kharkiv,Artillerie russe,"02,05,2022",,Ukraine,
Mariupol,Artillerie russe,"03,05,2022",,Contesté,
Mariupol,Combats,"03,05,2022",,Contesté,
Volnovakha,Artillerie russe,"03,05,2022",,Ukraine,
Pervomaysk,Fortification,"03,05,2022",,Ukraine,frontière transnistrie
Tver,Incident,"03,05,2022",,Russie,
Solomino,Fortification,"03,05,2022",,Russie,
Vuhledar,Artillerie russe,"03,05,2022",,Ukraine,Donestk
Melitopol,Incident,"03,05,2022",,Russie,
Prudyanka,Artillerie russe,"03,05,2022",,Ukraine,
Udy,Artillerie russe,"03,05,2022",,Ukraine,Kharkiv
Mayak,Incident,"03,05,2022",,Russie,
Perm,Incident,"02,05,2022",,Russie,Russie
Yampil,Combats,"03,05,2022",,Russie,
Stary Saltov,Combats,"03,05,2022",,Ukraine,
Pont de Zatoka,Bombardement,"02,05,2022",,Ukraine,
Lyman,Combats,"03,05,2022",,Ukraine,
Avdiyivka,Artillerie russe,"03,05,2022",,Ukraine,
Lviv,Bombardement,"03,05,2022",,Ukraine,
Molodova,Combats,"03,05,2022",,Ukraine,kharkiv
Severodonetsk,Combats,"03,05,2022",,Ukraine,
Popasna,Combats,"03,05,2022",,Ukraine,
Vesele,Artillerie Ukrainienne,"03,05,2022",,Russie,
Kirovske,Passage aérien,"04,05,2022",,Russie,Donetsk
Popasna,Combats,"04,05,2022",,Ukraine,
Orikhiv,Combats,"04,05,2022",,Ukraine,
Makiivka,Incident,"04,05,2022",,Russie,
Avdiyivka,Artillerie russe,"04,05,2022",,Ukraine,
Soledar,Artillerie russe,"04,05,2022",,Ukraine,Donestk
Kharkiv,Artillerie russe,"04,05,2022",,Ukraine,
Lyman,Combats,"04,05,2022",,Ukraine,
Yampil,Combats,"04,05,2022",,Contesté,
Ozerene,Artillerie russe,"04,05,2022",,Ukraine,
Kamyanske,Bombardement,"04,05,2022",,Ukraine,
Dnipro,Bombardement,"04,05,2022",,Ukraine,
Shandryholove,Combats,"04,05,2022",,Ukraine,
Dibrova,Combats,"04,05,2022",,Ukraine,
Stavky,Combats,"04,05,2022",,Ukraine,
Grushuvakha,Artillerie russe,"04,05,2022",,Ukraine,
Nova Dmytrivka,Artillerie russe,"04,05,2022",,Ukraine,
Kurulka,Artillerie russe,"04,05,2022",,Ukraine,
Velikaya Novoselka,Combats,"04,05,2022",,Ukraine,
Hulyaipole,Combats,"04,05,2022",,Ukraine,
Komishuvakha,Combats,"04,05,2022",,Ukraine,
Orichiv,Combats,"04,05,2022",,Ukraine,
Voevodivka,Combats,"04,05,2022",,Ukraine,
Severodonetsk,Bombardement,"04,05,2022",,Ukraine,
Kramatorsk,Bombardement,"04,05,2022",,Ukraine,
Mariupol,Bombardement,"04,05,2022",,Ukraine,
Gulyaipole,Bombardement,"04,05,2022",,Ukraine,
Novosilka,Combats,"04,05,2022",,Ukraine,
Novi Yurkovichi,Fortification,"04,05,2022",,Russie,Russie
Pohar,Fortification,"04,05,2022",,Russie,Russie
Lomakovka,Fortification,"04,05,2022",,Russie,Russie
Protopopivka,Artillerie russe,"04,05,2022",,Ukraine,kharkiv
Kutuzivka,Passage aérien,"04,05,2022",,,
Dovgenke,Combats,"04,05,2022",,Ukraine,
Tomyna Balka,Combats,"04,05,2022",,Ukraine,
Mariupol,Combats,"05,05,2022",,Contesté,
Stary Saltov,Combats,"05,05,2022",,Ukraine,
Kursk,Incident,"05,05,2022",,Russie,
Ruski Tyshky,Mouvement de troupes,"05,05,2022",,Abandonné,
Tomyna Balka,Combats,"05,05,2022",,Ukraine,
New York,Combats,"05,05,2022",,Ukraine,
Nyzhne,Combats,"05,05,2022",,Ukraine,
Studenok,Combats,"05,05,2022",,Ukraine,
Mykolaïv,Artillerie russe,"05,05,2022",,Ukraine,
Popasna,Combats,"05,05,2022",,Contesté,
Rubizhne,Combats,"05,05,2022",,Ukraine,
Nizhnevartovsk,Dissidence,"05,05,2022",,Russie,Russie
Kupiansk,Fortification,"05,05,2022",,Russie,
Lyman,Combats,"05,05,2022",,Ukraine,
Kharkiv,Artillerie russe,"05,05,2022",,Ukraine,
Avdiyivka,Artillerie russe,"05,05,2022",,Ukraine,
Kurakhovo,Artillerie russe,"05,05,2022",,Ukraine,
Melitopol,Incident,"05,05,2022",,Russie,
Lyman,Artillerie russe,"05,05,2022",,Ukraine,
Kharkiv,Artillerie russe,"05,05,2022",,Ukraine,
Rubizhne,Combats,"05,05,2022",,Contesté,
Vladikavkaz,Incident,"06,05,2022",,Russie,Russie
Bezymyannoye,Crime de guerre,"06,05,2022",,Russie,Russie
Voevodivka,Combats,"06,05,2022",,Russie,
Voronove,Combats,"06,05,2022",,Russie,Luhansk
Temirovka,Artillerie russe,"06,05,2022",,Ukraine,zaporizhia
Hulyaipole,Artillerie russe,"06,05,2022",,Ukraine,
Uspenivka,Artillerie russe,"06,05,2022",,Ukraine,zaporizhia
Rivnopillya,Artillerie russe,"06,05,2022",,Ukraine,zaporizhia
Kramatorsk,Incident,"06,05,2022",,Ukraine,
Mariupol,Combats,"06,05,2022",,Contesté,
Popasna,Combats,"06,05,2022",,Contesté,
Lyman,Artillerie russe,"06,05,2022",,Ukraine,
Severodonetsk,Artillerie russe,"06,05,2022",,Ukraine,
Avdiyevka Kurakhivja,Artillerie russe,"06,05,2022",,Ukraine,
Zaporizhia,Artillerie russe,"06,05,2022",,Ukraine,
Serhiivka,Passage aérien,"06,05,2022",,Ukraine,
Volodymyrivka,Passage aérien,"06,05,2022",,Ukraine,
Kamenskoye,Artillerie russe,"06,05,2022",,Ukraine,
Bezimenne,Crime de guerre,"06,05,2022",,Russie,
Shandryholove,Combats,"06,05,2022",,Russie,
Oleksandrivka D,Combats,"06,05,2022",,Ukraine,
Shestakove,Combats,"06,05,2022",,Ukraine,
Fedorivka,Combats,"06,05,2022",,Ukraine,
Peremoha,Combats,"06,05,2022",,Ukraine,
Ukrainika,Combats,"06,05,2022",,Ukraine,
Cherkasky Tyshky,Combats,"06,05,2022",,Contesté,
Kursk,Incident,"06,05,2022",,Russie,
Tsyrkuny,Mouvement de troupes,"06,05,2022",,Ukraine,
Rusky Tyshky,Mouvement de troupes,"06,05,2022",,Ukraine,
Buhruvatka,Artillerie Ukrainienne,"07,05,2022",,Russie,"Nord-est Kharkiv, sur la dontes"
Karlivka,Bombardement,"07,05,2022",,Ukraine,poltava
Skovorodynivka,Bombardement,"07,05,2022",,Ukraine,Kharkiv
Odesa,Bombardement,"06,05,2022",,Ukraine,
Odesa,Bombardement,"07,05,2022",,Ukraine,
Odesa,Aéronef abattu,"07,05,2022",,Ukraine,
Velyka Komyshuvakha,Combats,"07,05,2022",,Ukraine,
Korobochkyne,Artillerie russe,"07,05,2022",,Ukraine,Kharkiv
Kostyantynivka,Bombardement,"07,05,2022",,Ukraine,Donestk
Bakhmut,Bombardement,"07,05,2022",,Ukraine,Donestk
Kramatorsk,Bombardement,"07,05,2022",,Ukraine,
Schcherbaky,Combats,"06,05,2022",,Russie,front sud
Rubizhne,Combats,"07,05,2022",,Contesté,
Olhivka,Fortification,"07,05,2022",,Russie,Luhansk ?
Boguslavka,Fortification,"07,05,2022",,Russie,Luhansk ?
Serednje,Combats,"07,05,2022",,Russie,Donestk
Shandryholove,Combats,"07,05,2022",,Ukraine,Donestk
Novoselivka,Combats,"07,05,2022",,Ukraine,Donestk
Nyzhne,Combats,"07,05,2022",,Russie,
Toshkivka,Combats,"07,05,2022",,Contesté,
Tsyrkuny,Combats,"07,05,2022",,Ukraine,
Yasinovataya,Artillerie Ukrainienne,"07,05,2022",,Russie,
Vovchansk,Crime de guerre,"07,05,2022",,Russie,
Prudyanka,Artillerie russe,"07,05,2022",,Ukraine,
Slatyne,Artillerie russe,"07,05,2022",,Ukraine,
Mariupol,Combats,"07,05,2022",,Contesté,
Polohy,Combats,"07,05,2022",,Ukraine,
Poltavka,Combats,"07,05,2022",,Ukraine,zaporizhia
Burchak,Mouvement de troupes,"07,05,2022",,Inconnu,
