Lieux.nom,Lieux.oblast,Type,Date,ID
Pisky,Donetsk,Bombardement,11.08.2022,1
Shevelivka,Kharkiv,Bombardement,11.08.2022,2
Karnaukhivka,Kharkiv,Bombardement,11.08.2022,3
Virnopillya,Kharkiv,Bombardement,11.08.2022,4
Mazanivka,Donetsk,Bombardement,11.08.2022,5
Bohorodychne,Donetsk,Bombardement,11.08.2022,6
Hryhorivka,Donetsk,Combats,11.08.2022,7
Serebryanka,Donetsk,Bombardement,11.08.2022,8
Sivers’k,Donetsk,Bombardement,11.08.2022,9
Verkhnokam’yans’ke,Donetsk,Combats,11.08.2022,10
Ivano-Dar’ivka,Donetsk,Combats,11.08.2022,11
Pereizne,Donetsk,Bombardement,11.08.2022,12
Vyimka,Donetsk,Bombardement,11.08.2022,13
Spirne,Donetsk,Bombardement,11.08.2022,14
Vesele,Donetsk,Bombardement,11.08.2022,15
Yakovlivka,Donetsk,Combats,11.08.2022,16
Soledar,Donetsk,Bombardement,11.08.2022,17
Bakhmuts’ke,Donetsk,Combats,11.08.2022,18
Bakhmut,Donetsk,Bombardement,11.08.2022,19
Vesela Dolyna,Donetsk,Bombardement,11.08.2022,20
Zaytseve,Donetsk,Combats,11.08.2022,21
Vershyna,Donetsk,Combats,11.08.2022,22
Kostyantynivka,Donetsk,Bombardement,11.08.2022,23
Dacha,Donetsk,Combats,11.08.2022,24
Oleksandrivka,Kherson,Combats,11.08.2022,25
Chornobaivka,Kherson,Bombardement,11.08.2022,26
Kharkiv,Kharkiv,Bombardement,11.08.2022,27
Udy,Kharkiv,Combats,11.08.2022,28
Husarivka,Kharkiv,Combats,11.08.2022,29
Soledar,Donetsk,Combats,11.08.2022,30
Donetsk,Donetsk,Bombardement,11.08.2022,31
Centrale d’Enerhodar,Zaporizhia,Bombardement,11.08.2022,32
Nikopol,Dnipropetrovsk,Bombardement,11.08.2022,33
Kushuhum,Zaporizhia,Bombardement,11.08.2022,34
Novoyakovlivka,Zaporizhia,Bombardement,11.08.2022,35
Shcherbaky,Zaporizhia,Bombardement,11.08.2022,36
Orikhiv,Zaporizhia,Bombardement,11.08.2022,37
Mala Tokmachka,Zaporizhia,Bombardement,11.08.2022,38
Huliaipilske,Zaporizhia,Bombardement,11.08.2022,39
Ol’hivs’ke,Zaporizhia,Bombardement,11.08.2022,40
Poltavka,Zaporizhia,Bombardement,11.08.2022,41
Burlats’ke,Zaporizhia,Bombardement,11.08.2022,42
Vremivka,Donetsk,Bombardement,11.08.2022,43
Zolota Nyva,Donetsk,Bombardement,11.08.2022,44
Prechystivka,Donetsk,Bombardement,11.08.2022,45
Shevchenko,Donetsk,Bombardement,11.08.2022,46
Pavlivka,Donetsk,Combats,11.08.2022,47
Vuhledar,Donetsk,Bombardement,11.08.2022,48
Novomykaylivka,Donetsk,Bombardement,11.08.2022,49
Maryinka,Donetsk,Combats,11.08.2022,50
Netaylove,Donetsk,Bombardement,11.08.2022,51
Avdiyivka,Donetsk,Bombardement,11.08.2022,52
Opytne,Donetsk,Bombardement,11.08.2022,53
Krasnohorivka,Donetsk,Bombardement,11.08.2022,54
Vremivka,Donetsk,Bombardement,11.08.2022,55
Zolota Nyva,Donetsk,Bombardement,11.08.2022,56
Prechystivka,Donetsk,Bombardement,11.08.2022,57
Shevchenko,Donetsk,Bombardement,11.08.2022,58
Pavlivka,Donetsk,Bombardement,11.08.2022,59
Vuhledar,Donetsk,Bombardement,11.08.2022,60
Novomykaylivka,Donetsk,Bombardement,11.08.2022,61
Maryinka,Donetsk,Bombardement,11.08.2022,62
Netaylove,Donetsk,Bombardement,11.08.2022,63
Avdiyivka,Donetsk,Bombardement,11.08.2022,64
Opytne,Donetsk,Bombardement,11.08.2022,65
Krasnohorivka,Donetsk,Bombardement,11.08.2022,66
Lymany,Mykolaiv,Bombardement,11.08.2022,67
Prybuz’ke,Mykolaiv,Bombardement,11.08.2022,68
Halytsynove,Mykolaiv,Bombardement,11.08.2022,69
Mykolaiv,Mykolaiv,Bombardement,11.08.2022,70
Zorya,Mykolaiv,Bombardement,11.08.2022,71
Shevchenkove,Mykolaiv,Bombardement,11.08.2022,72
Novohryhorivka,Mykolaiv,Bombardement,11.08.2022,73
Lyubomyrivka,Mykolaiv,Bombardement,11.08.2022,74
Novomykolayivka,Mykolaiv,Bombardement,11.08.2022,75
Kyselivka,Mykolaiv,Bombardement,11.08.2022,76
Polyana,Mykolaiv,Bombardement,11.08.2022,77
Zelenyi Hai,Kherson,Bombardement,11.08.2022,78
Andriyivka,Kherson,Bombardement,11.08.2022,79
Lozove,Kherson,Bombardement,11.08.2022,80
Bila Krynytsya,Kherson,Bombardement,11.08.2022,81
Bereznehuvate,Mykolaiv,Bombardement,11.08.2022,82
Lepetykha,Mykolaiv,Bombardement,11.08.2022,83
Tverdomedove,Kherson,Bombardement,11.08.2022,84
Ivanivka,Kherson,Bombardement,11.08.2022,85
Knyazivka,Kherson,Bombardement,11.08.2022,86
Osorivka,Kherson,Bombardement,11.08.2022,87
Nova Kakhovka,Kherson,Bombardement,11.08.2022,88
Husarivka,Kharkiv,Bombardement,12.08.2022,89
Virnopillya,Kharkiv,Bombardement,12.08.2022,90
Mazanivka,Kharkiv,Bombardement,12.08.2022,91
Bohorodychne,Donetsk,Combats,12.08.2022,92
Hryhorivka,Donetsk,Combats,12.08.2022,93
Sivers’k,Donetsk,Bombardement,12.08.2022,94
Verkhnokam’yans’ke,Donetsk,Bombardement,12.08.2022,95
Ivano-Dar’ivka,Donetsk,Combats,12.08.2022,96
Vyimka,Donetsk,Combats,12.08.2022,97
Spirne,Donetsk,Combats,12.08.2022,98
Yakovlivka,Donetsk,Bombardement,12.08.2022,99
Soledar,Donetsk,Bombardement,12.08.2022,100
Bakhmuts’ke,Donetsk,Bombardement,12.08.2022,101
Bakhmut,Donetsk,Bombardement,12.08.2022,102
Vershyna,Donetsk,Bombardement,12.08.2022,103
Zaytseve,Donetsk,Combats,12.08.2022,104
Zalyman,Kharkiv,Bombardement,12.08.2022,105
Chepil’,Kharkiv,Bombardement,12.08.2022,106
Nortsivka,Kharkiv,Bombardement,12.08.2022,107
Protopopivka,Kharkiv,Bombardement,12.08.2022,108
Velyka Komyshuvakha,Kharkiv,Bombardement,12.08.2022,109
Dmytrivka,Kharkiv,Bombardement,12.08.2022,110
Ridne,Kharkiv,Bombardement,12.08.2022,111
Dibrovne,Kharkiv,Bombardement,12.08.2022,112
Krasnopillya,Donetsk,Bombardement,12.08.2022,113
Dolyna,Donetsk,Combats,12.08.2022,114
Zvanivka,Donetsk,Bombardement,12.08.2022,115
Vasyukivka,Donetsk,Bombardement,12.08.2022,116
Kodema,Donetsk,Combats,12.08.2022,117
Kurdyumivka,Donetsk,Bombardement,12.08.2022,118
Kramatorsk,Donetsk,Bombardement,12.08.2022,119
Pont de Kerch,Détroit de Kerch,Mouvement,12.08.2022,120
Makiivka,Donetsk,Bombardement,12.08.2022,121
Spartak,Donetsk,Combats,12.08.2022,122
Vodyane,Donetsk,Combats,12.08.2022,123
Novobakhmutivka,Donetsk,Combats,12.08.2022,124
Avdiyivka,Donetsk,Combats,12.08.2022,125
Maryinka,Donetsk,Combats,12.08.2022,126
Netaylove,Donetsk,Combats,12.08.2022,127
Pisky,Donetsk,Combats,12.08.2022,128
Krasnohorivka,Donetsk,Combats,12.08.2022,129
Bilohorivka,Luhansk,Combats,12.08.2022,130
Zaporizhia,Zaporizhia,Bombardement,12.08.2022,131
Andriyivka,Kherson,Bombardement,12.08.2022,132
Bruskynske,Kherson,Bombardement,12.08.2022,133
Vesele,Kherson,Bombardement,12.08.2022,134
Nova Kakhovka,Kherson,Bombardement,12.08.2022,135
Melitopol,Zaporizhia,Mouvement,13.08.2022,136
Dmytrivka,Kharkiv,Combats,13.08.2022,137
Dolyna,Kharkiv,Combats,13.08.2022,138
Vyimka,Donetsk,Combats,13.08.2022,139
Ivano-Dar’ivka,Donetsk,Combats,13.08.2022,140
Yakovlivka,Donetsk,Combats,13.08.2022,141
Vershyna,Donetsk,Combats,13.08.2022,142
Zaytseve,Donetsk,Combats,13.08.2022,143
Bakhmut,Donetsk,Combats,13.08.2022,144
Mariupol,Donetsk,Incident,13.08.2022,145
Kharkiv,Kharkiv,Bombardement,13.08.2022,146
Pavlivka,Donetsk,Combats,13.08.2022,147
Novosilka,Donetsk,Combats,13.08.2022,148
Lozove,Kherson,Combats,13.08.2022,149
Shyroky,Mykolaiv,Combats,13.08.2022,150
Nova Kakhovka,Kherson,Bombardement,13.08.2022,151
Melitopol,Zaporizhia,Bombardement,13.08.2022,152
Novotroitskoye,Kherson,Bombardement,13.08.2022,153
Nyzhni Sirohozy,Kherson,Bombardement,13.08.2022,154
Velyka Blagoveshchenka,Kherson,Bombardement,13.08.2022,155
Chaplinka,Kherson,Bombardement,13.08.2022,156
Chkalov,Kherson,Bombardement,13.08.2022,157
Maryinka,Donetsk,Combats,13.08.2022,158
Pisky,Donetsk,Combats,13.08.2022,159
Avdiyivka,Donetsk,Combats,13.08.2022,160
Krasnohorivka,Donetsk,Combats,13.08.2022,161
Oleksandropil’,Donetsk,Combats,13.08.2022,162
Pytomnyk,Kharkiv,Combats,13.08.2022,163
Kodema,Donetsk,Combats,13.08.2022,164
Vershyna,Donetsk,Combats,13.08.2022,165
Zalyman,Kharkiv,Bombardement,13.08.2022,166
Nortsivka,Kharkiv,Bombardement,13.08.2022,167
Dibrovne,Kharkiv,Bombardement,13.08.2022,168
Mazanivka,Donetsk,Bombardement,13.08.2022,169
Pytomnyk,Kharkiv,Bombardement,13.08.2022,170
Brazhkivka,Kharkiv,Bombardement,13.08.2022,171
Dolyna,Donetsk,Bombardement,13.08.2022,172
Bohorodychne,Donetsk,Bombardement,13.08.2022,173
Hryhorivka,Donetsk,Bombardement,13.08.2022,174
Verkhnokam’yans’ke,Donetsk,Bombardement,13.08.2022,175
Spirne,Donetsk,Bombardement,13.08.2022,176
Berestove,Donetsk,Bombardement,13.08.2022,177
Yakovlivka,Donetsk,Bombardement,13.08.2022,178
Rozdolivka,Donetsk,Bombardement,13.08.2022,179
Soledar,Donetsk,Bombardement,13.08.2022,180
Bakhmuts’ke,Donetsk,Bombardement,13.08.2022,181
Chasiv Yar,Donetsk,Bombardement,13.08.2022,182
Kurdyumivka,Donetsk,Bombardement,13.08.2022,183
New York,Donetsk,Bombardement,13.08.2022,184
Kramatorsk,Donetsk,Bombardement,13.08.2022,185
Maryinka,Donetsk,Bombardement,15.08.2022,186
Pisky,Donetsk,Combats,15.08.2022,187
Opytne,Donetsk,Bombardement,15.08.2022,188
Krasnohorivka,Donetsk,Bombardement,15.08.2022,189
Novobakhmutivka,Donetsk,Bombardement,15.08.2022,190
Sribne,Donetsk,Bombardement,15.08.2022,191
Dolyna,Donetsk,Combats,15.08.2022,192
Ivano-Dar’ivka,Donetsk,Combats,15.08.2022,193
Spirne,Donetsk,Combats,15.08.2022,194
Yakovlivka,Donetsk,Combats,15.08.2022,195
Soledar,Donetsk,Combats,15.08.2022,196
Vershyna,Donetsk,Combats,15.08.2022,197
Kodema,Donetsk,Combats,15.08.2022,198
Zaytseve,Donetsk,Combats,15.08.2022,199
Bakhmut,Donetsk,Combats,15.08.2022,200
Sloviansk,Donetsk,Bombardement,15.08.2022,201
Melitopol,Donetsk,Incident,15.08.2022,202
Vovchansk,Kharkiv,Crime de guerre,15.08.2022,203
Asiyivka,Kharkiv,Bombardement,15.08.2022,204
Hrushuvakha,Kharkiv,Bombardement,15.08.2022,205
Krasnopillya,Kharkiv,Bombardement,15.08.2022,206
Mazanivka,Donetsk,Combats,15.08.2022,207
Pryshyb,Donetsk,Bombardement,15.08.2022,208
Rayhorodok,Donetsk,Bombardement,15.08.2022,209
Kostyantynivka,Donetsk,Bombardement,15.08.2022,210
Bakhmuts’ke,Donetsk,Bombardement,15.08.2022,211
Vesela Dolyna,Donetsk,Bombardement,15.08.2022,212
Pivnichne,Donetsk,Bombardement,15.08.2022,213
Shumy,Donetsk,Bombardement,15.08.2022,214
Bilohorivka,Donetsk,Bombardement,15.08.2022,215
Vyimka,Donetsk,Combats,15.08.2022,216
Fedorivka,Donetsk,Bombardement,15.08.2022,217
Vesele,Donetsk,Combats,15.08.2022,218
Sosnivka,Kharkiv,Bombardement,15.08.2022,219
Svitlychne,Kharkiv,Bombardement,15.08.2022,220
Dementiyivka,Kharkiv,Bombardement,15.08.2022,221
Slatyne,Kharkiv,Bombardement,15.08.2022,222
Nove,Kharkiv,Bombardement,15.08.2022,223
Pytomnyk,Kharkiv,Bombardement,15.08.2022,224
Rus’ka Lozova,Kharkiv,Bombardement,15.08.2022,225
P’yatykhatky,Kharkiv,Bombardement,15.08.2022,226
Rus’ki Tyshky,Kharkiv,Bombardement,15.08.2022,227
Slobozhans’ke,Kharkiv,Bombardement,15.08.2022,228
Verkhniy Sqltiv,Kharkiv,Bombardement,15.08.2022,229
Kharkiv,Kharkiv,Bombardement,15.08.2022,230
Blahodativka,Kherson,Bombardement,15.08.2022,231
Novopetrivka,Kherson,Bombardement,15.08.2022,232
Petrivka,Kharkiv,Combats,25.08.2022,233
Staryi Karavan,Donetsk,Combats,25.08.2022,234
Bakhmuts’ke,Donetsk,Combats,25.08.2022,235
Kodema,Donetsk,Combats,25.08.2022,236
Pisky,Donetsk,Combats,25.08.2022,237
Pervomaiske,Donetsk,Combats,25.08.2022,238
New York,Donetsk,Bombardement,25.08.2022,239
Novobakhmutivka,Donetsk,Bombardement,25.08.2022,240
Krasnohorivka,Donetsk,Bombardement,25.08.2022,241
Orlivka,Donetsk,Bombardement,25.08.2022,242
Vodyane,Donetsk,Bombardement,25.08.2022,243
Netaylove,Donetsk,Bombardement,25.08.2022,244
Pokrov’ske,Donetsk,Bombardement,25.08.2022,245
Nevel’s’ke,Donetsk,Bombardement,25.08.2022,246
Maryinka,Donetsk,Bombardement,25.08.2022,247
Mali Shcherbaky,Zaporizhia,Bombardement,25.08.2022,248
Orikhiv,Zaporizhia,Bombardement,25.08.2022,249
Dorozhnyanka,Zaporizhia,Bombardement,25.08.2022,250
Poltavka,Zaporizhia,Bombardement,25.08.2022,251
Novopil’,Donetsk,Bombardement,25.08.2022,252
Novosilka,Donetsk,Bombardement,25.08.2022,253
Velyka Novosilka,Donetsk,Combats,25.08.2022,254
Novomayors’ke,Donetsk,Bombardement,25.08.2022,255
Pavlivka,Donetsk,Combats,25.08.2022,256
Volodymyrivka,Donetsk,Bombardement,25.08.2022,257
Novomykhaylivka,Donetsk,Combats,25.08.2022,258
Pobyeda,Donetsk,Combats,25.08.2022,259
Maryinka,Donetsk,Combats,25.08.2022,260
Kharkiv,Kharkiv,Bombardement,25.08.2022,261
Pont Antonovsky,Kherson,Bombardement,26.08.2022,262
Evpatoria,Crimée,DCA active,26.08.2022,263
Karnaukhivka,Kharkiv,Combats,26.08.2022,264
