Lieux.nom,Oblast,Coordonnées
Pisky,Donetsk,"48.0642196848605,37.6746726577858"
Shevelivka,Kharkiv,"49.3460894863514,36.7473240270312"
Karnaukhivka,Kharkiv,"49.0340264847688,37.0431471324212"
Virnopillya,Kharkiv,"49.0331061173807,37.1247077682987"
Mazanivka,Donetsk,"48.9926176914167,37.3546545217795"
Bohorodychne,Donetsk,"49.0158270343469,37.507136141166"
Hryhorivka,Donetsk,"47.8673297374718,38.2602985912498"
Serebryanka,Donetsk,"48.9205787074822,38.1303772151509"
Sivers’k,Donetsk,"48.8664994699527,38.0962930567742"
Verkhnokam’yans’ke,Donetsk,"48.8602686412246,38.1906748588444"
Ivano-Dar’ivka,Donetsk,"48.8141080240126,38.1989731593931"
Pereizne,Donetsk,"48.7797374786486,38.075554985479"
Vyimka,Donetsk,"48.8036331336265,38.1520432438969"
Spirne,Donetsk,"48.8089960770441,38.2488349103248"
Vesele,Donetsk,"48.0618123509994,37.7162299135164"
Yakovlivka,Donetsk,"48.7087254442714,38.1472930517538"
Soledar,Donetsk,"48.6878486145814,38.0783201302701"
Bakhmuts’ke,Donetsk,"48.661178026752,38.0974253282443"
Bakhmut,Donetsk,"48.5941009039944,37.999526759175"
Vesela Dolyna,Donetsk,"48.5497209676132,38.0642381611793"
Zaytseve,Donetsk,"48.4083010715955,38.0308278343124"
Vershyna,Donetsk,"48.5164866575298,38.1261139894845"
Kostyantynivka,Donetsk,"48.5260782838635,37.7059339596911"
Dacha,Donetsk,"48.4422127964516,38.0418498744023"
Oleksandrivka,Kherson,"46.6133568050182,32.1126683849201"
Stanislav,Kherson,"46.5734588758883,32.1476469471422"
Doslidne,Kherson,"46.6639672481566,32.2534536274347"
Myrne,Kherson,"46.7075664514953,32.2473520942729"
Parysheve,Kherson,"46.7103884226117,32.2697494966249"
Pravdyne,Kherson,"46.7367128467851,32.2014535905145"
Kyselivka,Kherson,"46.7559865572918,32.4099944303574"
Klapaya,Kherson,"46.7234516115403,32.420446703467"
Kruti Yar,Kherson,"46.7726381436551,32.4858734773799"
Chornobaivka,Kherson,"46.6957623812047,32.5464820490897"
Partizanske,Mykolaiv,"47.0698874156416,32.5323640905514"
Lyubyne,Mykolaiv,"47.0789449415876,32.670221433307"
Novopetrivka,Kherson,"47.4284207408367,33.4660298561864"
Snihurivka,Mykolaiv,"47.0764793062525,32.8085863609103"
Centrale d’Enerhodar,Zaporizhia,"47.5065340088291,34.5846432149565"
Kharkiv,Kharkiv,"49.9902647840386,36.2526707814837"
Udy,Kharkiv,"50.3901115302724,36.0677775612497"
Husarivka,Kharkiv,"48.8799076849461,37.1518837019565"
Bayrak,Kharkiv,"50.1527168295903,36.7241408558664"
Donetsk,Donetsk,"47.9897989321705,37.781595190171"
Nikopol,Dnipropetrovsk,"47.57010018844128, 34.38607010140831"
Kushuhum,Zaporizhia,"47.71506082743854, 35.21212291615763"
Novoyakovlivka,Zaporizhia,"47.62413341454719, 35.51046114163692"
Shcherbaky,Zaporizhia,"47.550031061958215, 35.581085710732204"
Orikhiv,Zaporizhia,"47.56417357661243, 35.78329061878005"
Mala Tokmachka,Zaporizhia,"47.53427474197272, 35.90243071202223"
Huliaipilske,Zaporizhia,"47.61119910656878, 36.06426848916984"
Ol’hivs’ke,Zaporizhia,"47.73830778176637, 36.52770564072697"
Poltavka,Zaporizhia,"47.71806009584151, 36.48261031476236"
Burlats’ke,Zaporizhia,"47.575804134608646, 36.6184150177085"
Vremivka,Donetsk,"47.83395887909956, 36.813796650479"
Zolota Nyva,Donetsk,"47.79365657773319, 36.98678166005795"
Prechystivka,Donetsk,"47.78024391656721, 37.0712141490099"
Shevchenko,Donetsk,"47.72754316872434, 37.147455478763916"
Pavlivka,Donetsk,"47.75498421947374, 37.21717624653645"
Vuhledar,Donetsk,"47.77979110028187, 37.248246955047215"
Novomykaylivka,Donetsk,"47.85316082423199, 37.48297807849591"
Maryinka,Donetsk,"47.94143554317584, 37.50676094406154"
Netaylove,Donetsk,"48.10651345596367, 37.5541984613224"
Avdiyivka,Donetsk,"48.137127787819956, 37.75197300297813"
Opytne,Donetsk,"48.09682874794401, 37.721733208927105"
Krasnohorivka,Donetsk,"48.2077598150068, 37.7248300617537"
Lymany,Mykolaiv,"46.72575484879539, 31.9699782767716"
Prybuz’ke,Mykolaiv,"46.7763447581599, 32.089151860875866"
Halytsynove,Mykolaiv,"46.77909750409767, 31.95251279266679"
Mykolaiv,Mykolaiv,"46.97566076223333, 31.99495241360178"
Zorya,Mykolaiv,"46.89655494043439, 32.287535907087445"
Shevchenkove,Mykolaiv,"46.862157615315645, 32.19488083230956"
Novohryhorivka,Mykolaiv,"46.87968464980827, 32.325121454935896"
Lyubomyrivka,Mykolaiv,"47.188029336330715, 32.87498469645095"
Novomykolayivka,Mykolaiv,"46.96717220876504, 32.35847948324656"
Kyselivka,Mykolaiv,"47.001529306456156, 32.469271222129414"
Polyana,Mykolaiv,"47.16932521352333, 32.680119365732864"
Zelenyi Hai,Kherson,"47.16513803611396, 32.978146489596696"
Andriyivka,Kherson,"47.17826937110797, 33.04713783166457"
Lozove,Kherson,"47.194436871171895, 33.07004253284553"
Bila Krynytsya,Kherson,"47.346619478994, 33.190937418156736"
Bereznehuvate,Mykolaiv,"47.30975240244586, 32.8496170103682"
Lepetykha,Mykolaiv,"47.32178944958442, 33.05822765516893"
Tverdomedove,Kherson,"47.35230623670807, 33.283979101342545"
Ivanivka,Kherson,"47.4682732671108, 33.37766565583007"
Knyazivka,Kherson,"47.521647065362274, 33.523346600537565"
Osorivka,Kherson,"47.443112706149876, 33.918873564787894"
Nova Kakhovka,Kherson,"46.759904075657374, 33.36850032757433"
Zalyman,Kharkiv,"49.372202263087324, 37.05575498335978"
Chepil’,Kharkiv,"49.31993910539862, 36.918310595995194"
Nortsivka,Kharkiv,"49.309753340257366, 37.050258707335466"
Protopopivka,Kharkiv,"49.24395708483679, 36.91327845444617"
Velyka Komyshuvakha,Kharkiv,"49.10666720530374, 36.99018572123812"
Dmytrivka,Kharkiv,"49.05453169384007, 37.13059164601015"
Ridne,Kharkiv,"48.98425539075031, 37.069604822686195"
Dibrovne,Kharkiv,"48.98942541676446, 37.25155909324776"
Krasnopillya,Donetsk,"48.99397367313788, 37.431288015062194"
Dolyna,Donetsk,"48.997961087795176, 37.43298016269767"
Zvanivka,Donetsk,"48.81377546699009, 38.07691144408171"
Vasyukivka,Donetsk,"48.740915823224064, 37.99401967548405"
Kodema,Donetsk,"48.47413108097027, 38.07523672542005"
Kurdyumivka,Donetsk,"48.46743353448877, 37.958684804783346"
Kramatorsk,Donetsk,"48.721668338116885, 37.576406397369105"
Pont de Kerch,Détroit de Kerch,"45.26552054927795, 36.55220165724818"
Makiivka,Donetsk,"48.05285815933265, 37.97830593771335"
Spartak,Donetsk,"48.07874172714958, 37.770747322314016"
Vodyane,Donetsk,"48.09523235208894, 37.67009482428109"
Novobakhmutivka,Donetsk,"48.225456463136645, 37.61904216449579"
Bilohorivka,Luhansk,"48.925005125016085, 38.24645309543995"
Zaporizhia,Zaporizhia,"47.83140299074349, 35.18820971057874"
Bruskynske,Kherson,"47.156469474885384, 33.20917126230377"
Vesele,Kherson,"46.79351623163922, 33.354469525065255"
Melitopol,Zaporizhia,"46.849813968299955, 35.3580016585466"
Mariupol,Donetsk,"47.11290826746378, 37.55583862039844"
Novosilka,Donetsk,"47.8382053386962, 36.684552858596845"
Shyroky,Mykolaiv,"47.10040757371349, 32.66965431923873"
Novotroitskoye,Kherson,"46.35363628763852, 34.33241292889483"
Nyzhni Sirohozy,Kherson,"46.84410273328805, 34.3780387880529"
Velyka Blagoveshchenka,Kherson,"46.86732934477563, 34.06747463930274"
Chaplinka,Kherson,"46.362429509610614, 33.543083652169116"
Chkalov,Kherson,"46.47946103985066, 34.179643298469834"
Oleksandropil’,Donetsk,"48.28202357266842, 37.7727439100614"
Pytomnyk,Kharkiv,"50.17066029776154, 36.26442366276357"
Brazhkivka,Kharkiv,"49.04267730056173, 37.215408263898986"
Berestove,Donetsk,"48.7570671714692, 38.24690302992899"
Rozdolivka,Donetsk,"48.75406413050351, 38.0823774617319"
Chasiv Yar,Donetsk,"48.58657052449276, 37.835052630253344"
New York,Donetsk,"48.32831751535468, 37.84524513509637"
Sribne,Donetsk,"48.10490517829481, 37.01721774987614"
Sloviansk,Donetsk,"48.85043876074211, 37.60226736381337"
Vovchansk,Kharkiv,"50.28471932714143, 36.941997242846284"
Pryshyb,Donetsk,"49.024203589566326, 37.64233080934803"
Asiyivka,Kharkiv,"49.36382465572741, 36.68492574187217"
Hrushuvakha,Kharkiv,"49.112596566139686, 36.89985094399622"
Rayhorodok,Donetsk,"48.89938327419615, 37.725243692442824"
Pivnichne,Donetsk,"48.39558332466691, 37.90910479215897"
Shumy,Donetsk,"48.38068709427463, 37.933777314653"
Bilohorivka,Donetsk,"48.73526179942116, 38.213734775037835"
Fedorivka,Donetsk,"47.2080830217856, 37.11989938028068"
Sosnivka,Kharkiv,"49.422212075636054, 35.652538931009325"
Svitlychne,Kharkiv,"50.326076877409875, 36.05519941147284"
Dementiyivka,Kharkiv,"50.232543546032524, 36.233113812958614"
Slatyne,Kharkiv,"50.21047943286588, 36.157012654887986"
Nove,Kharkiv,"50.187201972745584, 36.23859301219755"
Rus’ka Lozova,Kharkiv,"50.140920216156665, 36.28021180222171"
P’yatykhatky,Kharkiv,"50.08771996473572, 36.2445827025974"
Rus’ki Tyshky,Kharkiv,"50.13625461850069, 36.40164636575396"
Slobozhans’ke,Kharkiv,"49.59134097484052, 36.52811906047585"
Verkhniy Saltiv,Kharkiv,"50.13746674986568, 36.79904192789263"
Blahodativka,Kherson,"47.17780574053271, 33.01027209868263"
Petrivka,Kharkiv,"50.11290819798812, 36.521640698246735"
Staryi Karavan,Donetsk,"48.92077472482584, 37.782512100023425"
Pervomaiske,Donetsk,"48.094640979164105, 37.59914320645926"
Orlivka,Donetsk,"48.162537182343755, 37.641927802133694"
Pokrov’ske,Donetsk,"48.280383773311634, 37.1760762197044"
Nevel’s’ke,Donetsk,"48.05856316884939, 37.57585993380534"
Mali Shcherbaky,Zaporizhia,"47.548490369659774, 35.54702101765373"
Dorozhnyanka,Zaporizhia,"47.58781612110902, 36.270157922450956"
Novopil’,Donetsk,"47.80838488054193, 36.62331018895597"
Velyka Novosilka,Donetsk,"47.84111494689179, 36.83782951997307"
Novomayors’ke,Donetsk,"47.73349917058552, 37.03728851909852"
Volodymyrivka,Donetsk,"47.731103769652904, 37.38534573817674"
Novomykhaylivka,Donetsk,"47.85316082423199, 37.4867546284529"
Pobyeda,Donetsk,"47.91599374361173, 37.46201611270209"
Pont Antonovsky,Kherson,"46.67002253695263, 32.720225830237965"
Evpatoria,Crimée,"45.20348732066572, 33.36066455581686"
Berdyansk,Zaporizhia,"46.76460760624422, 36.804666488729694"
Darivka,Kherson,"46.752744343917406, 32.78891128667743"
Timonovo,Belgorod,"50.322643994788216, 38.050105822319026"
Tetyanivka,Donetsk,"49.0367183764471, 37.589639395921765"
Tykhonivka,Donetsk,"48.71945342084521, 37.78366510986002"
Stepova Dolyna,Mykolaiv,"46.7789010538814, 32.183610204463136"
Pervomays’ke,Mykolaiv,"47.04133910369049, 32.43909311116679"
Ternivka,Kherson,"47.19798720989709, 33.00811496919575"
Velyke Artakove,Mykolaiv,"47.22127788498346, 33.06492501186769"
Ol’hyne,Kherson,"47.47036932505896, 33.485774190313606"
Topolyne,Kherson,"47.53262937377704, 33.55769017878967"
Pot’omkyne,Kherson,"47.48771517789091, 33.57342864710176"
Novodanylivka,Zaporizhia,"47.5270814969203, 35.82086842414867"
Charivne,Zaporizhia,"47.58225252190464, 36.03586499384866"
Shevchenka,Zaporizhia,"47.571981076956305, 36.47218983835682"
Zaitseve,Donetsk,"48.52436257043854, 38.06377373228108"
Mayorsk,Donetsk,"48.39563168856746, 37.97446671924819"
Kurakhove,Donetsk,"47.984333915744386, 37.279334726588004"
Kherson,Kherson,"46.65184370246009, 32.610520188811975"
Sevastopol,Crimée,"44.59107906057111, 33.545066524863316"
Dovhen’ke,Kharkiv,"49.017818311483, 37.31985752256137"
Semyhirja,Donetsk,"48.46901903839472, 38.14608876204369"
Lupareve,Mykolaiv,"46.69577366791465, 31.979011388649923"
Posad-Pokrovs’ke,Kherson,"46.80600519697721, 32.26308770693065"
Kvitneve,Mykolaiv,"47.02241691509277, 32.45475835521933"
Partyzans’ke,Mykolaiv,"47.06959511595873, 32.533909042806485"
Veselyi Kut,Mykolaiv,"47.15473429963396, 32.910138770255834"
Kam’yans’ke,Zaporizhia,"47.54031476930767, 35.37630034523346"
Hulyaypole,Zaporizhia,"47.66698539975247, 36.260518235932025"
Chervone,Zaporizhia,"47.65664099314477, 36.38577951846801"
Bohoyavlenka,Donetsk,"47.858180032495255, 37.2144913588013"
novooleksandrivka,Donetsk,"48.280181776145646, 37.556698371478234"
Oleshki,Kherson,"46.62055760945696, 32.71939081180324"
Novovorontsovka,Kherson,"47.499704525594694, 33.920741053430405"
Svatove,Luhansk,"49.4114291876407, 38.155866479767205"
Enerhodar,Zaporizhia,"47.501936320067784, 34.62975835753862"
Sukhoy Stavok,Kherson,"47.15822102911463, 33.10249524413513"
Davydiv Brid,Kherson,"47.239609001584775, 33.19417240388176"
Beryslav,Kherson,"46.83949234140073, 33.4259462175972"
Chaplynka,Kherson,"46.36350389956282, 33.53501354735195"
Ukrainka,Mykolaiv,"46.82497653256431, 32.14082225713074"
Shnurky,Donetsk,"48.90599361122289, 37.3065927100202"
Shyroka Balka,Kherson,"46.587671666434225, 32.19549945833208"
Kachkarivka,Kherson,"47.09537628857977, 33.74461523883943"
Okip,Kharkiv,"50.41991150034618, 36.14622525316831"
Novoselivka,Mykolaiv,"46.99896475794868, 32.3926945142206"
Kalynivka,Mykolaiv,"47.04580542251051, 32.18192083842922"
Bilousove,Kherson,"47.316347839146495, 33.231805358116624"
Zarichne,Kherson,"47.44436693148656, 33.373801702671784"
Zelenodol’s’k,Dnipropetrovsk,"47.5669230824577, 33.64674783499009"
L’vove,Kherson,"46.79150765551646, 33.15188070821975"
Prudyanka,Kharkiv,"50.24494434570705, 36.17094946153913"
Polohy,Zaporizhia,"47.476131930981175, 36.26220437794504"
Novomykaylivka,Mykolaiv,"47.74429043440161, 32.7359612452045"
Chervona Dolyna,Mykolaiv,"47.14533555187626, 32.66395747704446"
Dobryanka,Kherson,"47.461691689295016, 33.62219649360568"
Trudolyubivka,Kherson,"47.44558040452058, 33.69762443221374"
Osokorivka,Kherson,"47.44079068799428, 33.91990353295799"
Chervonyi Yar,Mykolaiv,"47.31586135466371, 32.98243305351837"
Kostyrka,Kherson,"47.39428770257724, 33.55475051175666"
Chornobaivka,Kherson,"46.69570084882484, 32.54789615608077"
Bilozerka,Kherson,"46.62752800710103, 32.44124793274431"
Chervonohvardiiske ,Crimée,"45.11455006663178, 34.02065070607623"
Tokmak,Zaporizhia,"47.24902981303577, 35.70755535488698"
Nikopol’,Dnipropetrovsk,"47.57940323621264, 34.37056908631162"
Zakitne,Donetsk,"48.89650405424635, 37.969551713786394"
Balaklava,Crimée,"44.52279831868196, 33.69348830933915"
Novoyakovlivka,Zaporizhia,"47.62407556538028, 35.508744528020095"
Bilohir’ya,Zaporizhia,"47.52475263746298, 35.99536591958864"
Zelene Pole,Donetsk,"47.828523752413, 36.622087083500965"
Neskuchne,Donetsk,"47.817408928256825, 36.8077026261603"
Zolota Nyva,Donetsk,"47.793618559274826, 36.987421094281665"
Klenove,Kharkiv,"48.832557670518156, 36.26000258052077"
Velyki Prokhody,Kharkiv,"50.20068016700141, 36.32840468312036"
Peremoha,Kharkiv,"50.11238824930525, 36.66244515728329"
Bayrak,Kharkiv,"50.048194312415816, 36.431952968532336"
Donestk,Donetsk,"47.990469143563686, 37.81682043241803"
Horlivka,Donetsk,"48.32529515793624, 38.04795012187406"
Lyubymivka,Kherson,"47.396706957635864, 33.71569101633199"
Petrivka,Kherson,"47.413387871198594, 33.79125473745518"
Arkhanhel’s’ke,Kherson,"47.431599082585805, 33.40522135898669"
Khreshchenivka ,Kherson,"47.386053355906384, 33.823656379787856"
Donets’ke,Donetsk,"48.93391486815465, 37.69069175005342"
Verkhnokam’yans’ke,Donetsk,"48.860124421089864, 38.191418171750996"
Pereyizne,Donetsk,"48.77841592394227, 38.07552093460082"
Sukha Balka,Donetsk,"48.31931670781391, 37.762867704471056"
Yur’Yivka,Donetsk,"48.31344477873611, 37.831641961880806"
Kozatske,Kherson,"46.78517457716584, 33.33704960899273"
Lymany,Mykolaiv,"46.72528415733585, 31.97117990630337"
Luch,Mykolaiv,"46.826531896244525, 32.220161738862316"
Tonen’ke,Donetsk,"48.13698274117812, 37.64679854284211"
Karlivka,Donetsk,"48.109245522231376, 37.48916547335597"
Heorhiyivka,Donetsk,"48.30989813117172, 36.92657026327833"
Zaliznychne,Zaporizhia,"47.64884846841738, 36.164755854739994"
Novodarivka,Zaporizhia,"47.780800476182534, 36.63378835811534"
Novoocheretuvate,Donetsk,"47.90012035112969, 36.813048274029214"
Mykil’s’ke,Donetsk,"47.75386963710985, 37.30572081589234"
Sukhyi Stavok,Kherson,"47.158629567280904, 33.10421185775194"
Kostromka,Kherson,"47.13764375002781, 33.149179108860444"
Pravdyne,Kherson,"46.73659519821088, 32.20351352685471"
Kramatorsk,Donetsk,"48.73733729129159, 37.56466613760956"
Kreshchenivka,Kherson,"47.38685972389504, 33.820844225278705"
Myroliubivka,Kherson,"47.40598766119143, 33.6523100493305"
Repyakhovka,Belgorod,"50.86027515943516, 35.47277725969125"
Kozacha Lopan’,Kharkiv,"50.33182564685438, 36.187900211545475"
Pasika,Kharkiv,"49.072746588909695, 37.4636276883842"
Sulyhivka,Kharkiv,"49.029228683131144, 37.24292179004133"
Ozerne,Donetsk,"48.897157334737464, 37.911674044525306"
Brusivka,Donetsk,"48.90894654939091, 37.78428032502309"
Solodke,Donetsk,"47.78781082917546, 37.49150564785866"
Novokalynove,Donetsk,"48.24560479606205, 37.696162528176735"
Berdychi,Donetsk,"48.19525375467007, 37.64733549334353"
Slovyansk,Donetsk,"48.84912428639578, 37.607544100882215"
Bilohirka,Kherson,"47.199350152031066, 33.13853224870857"
Balakliya,Kharkiv,"49.45637596912874, 36.85321104129627"
Spartak,Donetsk,"48.08192761712709, 37.77220804981482"
Novovoskresens’ke,Kherson,"47.328386825170085, 33.600314189658356"
Odnorobivka,Kharkiv,"50.36087737886094, 35.91506394133804"
Sosnivka,Kharkiv,"49.42098377541208, 35.653397237817735"
Borshchova,Kharkiv,"50.16164216005642, 36.41614451223051"
Kam’yanske,Zaporizhia,"47.53925417565664, 35.36866762644203"
Vil’ne Pole,Donetsk,"47.87425674139471, 36.685281343344236"
Kermenchyk,Donetsk,"47.71048661371845, 36.942475625542926"
Pyskunivka,Donetsk,"48.883685539224736, 37.83743056969993"
Kryva Luka,Donetsk,"48.873003892297625, 37.90343457039141"
Mykolaivka,Luhansk,"48.77986264141563, 38.32851937182352"
Oleksandrivka,Donetsk,"47.921161558108224, 37.56670721114057"
Myrne,Mykolaiv,"46.81244851082484, 32.31069534909951"
Tomina Balka,Kherson,"46.62357358348547, 32.30717533850338"
Shchaslyve,Kherson,"47.1097022050234, 33.16007609288859"
Bezimenne,Kherson,"47.09997727305819, 33.11559863622202"
Ternovi Pody,Mykolaiv,"46.85845903085863, 32.3860553568084"
Sydorove,Donetsk,"48.9852983810191, 37.60167464091762"
Platonivka,Donetsk,"48.898487351082615, 38.018940969298036"
Mos’panove,Kharkiv,"49.6404142142642, 36.74618491007948"
Pryshyb,Kharkiv,"49.51276443655566, 36.7488122349789"
Asiyivka,Kharkiv,"49.363936450666486, 36.685784048680574"
Shmidtove,Mykolaiv,"46.87493314581441, 32.46157557424312"
Hulyaypil’s’ke,Zaporizhia,"47.613032780847824, 36.058395139909024"
Poltavka,Zaporizhia,"47.718522054697715, 36.48020705569881"
Paraskoviyivka,Donetsk,"48.65793707940129, 37.999367208551156"
Dar’yivka,Kherson,"46.750936050892676, 32.79137063592492"
Hola Prystan’,Kherson,"46.52112833543586, 32.51984107089377"
Verbivka,Kharkiv,"49.48492324492622, 36.82757187244985"
Yakovenkove,Kharkiv,"49.5259351981936, 36.90741024911883"
Volokhiv Yar,Kharkiv,"49.599712142947034, 36.97992484234264"
Bairak,Kharkiv,"49.414070905586094, 36.83450263732321"
Nova Husarivka,Kharkiv,"49.3917282669557, 36.87919188107437"
Balaklya,Kharkiv,"49.46403902236962, 36.860662193374445"
Mykolaivka Druha,Donetsk,"48.47112233780121, 38.012214492550754"
Kupyansk,Kharkiv,"49.710421048397784, 37.61258534610294"
Izyum,Kharkiv,"49.21093000913082, 37.2803178586105"
Mariupol,Donetsk,"47.12225345850914, 37.56133178397224"
Mali Shcherbaky,Zaporizhia,"47.54837450394174, 35.546677694930366"
Novoandriyivka,Zaporizhia,"47.54840066279169, 35.69846631297487"
Shcherbaky,Zaporizhia,"47.54979933707792, 35.58245900162566"
Mala Tokmachka,Zaporizhia,"47.53491014405966, 35.89785724117031"
Shevchenka,Zaporizhia,"47.40842704475531, 35.1876579560046"
Savyntsi,Kharkiv,"49.401278166463634, 37.06035882679198"
Bryhadyrivka,Kharkiv,"49.552027551892614, 37.06863915935765"
