Oblast,Ville,Pays,Coordonnées
Odesa,Odesa,Ukraine,"46.47586927466302, 30.742174442172473"
Donetsk,Mariupol,Ukraine,"47.113842860426544, 37.559958493078796"
Kharkiv,Kharkiv,Ukraine,"49.9836588137293, 36.255582634870144"
Kherson,Oleksandrivka,Ukraine,"46.61382847219148, 32.11163841674999"
Kherson,Chornobayivka,Ukraine,"46.6952298951942, 32.54909778561254"
Donetsk,Lyman,Ukraine,"48.98963565686005, 37.80479606993629"
Luhansk,Popasna,Ukraine,"48.6314660760233, 38.37344059286653"
Donetsk,Avdiyivka,Ukraine,"48.13746915502594, 37.750008036162754"
Kharkiv,Petrivs'ke,Ukraine,"49.173148816925725, 36.892086250671454"
Luhansk,Zolote,Ukraine,"48.6953810453041, 38.51396767436268"
Donetsk,Yats'kivka ,Ukraine,"49.17747408703512, 37.534591763660494"
Donetsk,Zarichne,Ukraine,"49.0190566554344, 37.93272491335685"
Kharkiv,Derhachi,Ukraine,"50.108025298491434, 36.12118449476559"
Chernihiv,Sen’kivka,Ukraine,"52.08854565591153, 31.779290775013255"
Kharkiv,Prudyanka,Ukraine,"50.24589427858226, 36.17227128128218"
Mykolaïv,Hurlivka,Ukraine,"47.12385676145639, 31.87034644602989"
Donetsk,Vynohradne,Ukraine,"47.09305762919776, 37.682782915285145"
Kherson,Zelenyi Hai,Ukraine,"47.65397736137022, 37.439684651927905"
Kherson,Barvinkove,Ukraine,"48.907100576002016, 37.01049181879951"
Kherson,Kyselivka,Ukraine,"46.75671543590372, 32.409361058780966"
Donetsk,Velikaya Novoselka,Ukraine,"47.84047514830163, 36.83836043341994"
Kharkiv,Korotychi,Ukraine,"49.95172957734471, 36.03657885690787"
Kharkiv,Kurulka,Ukraine,"48.949650492399016, 37.25491515653537"
Kharkiv,Husarivka,Ukraine,"48.88058864153352, 37.15387527480714"
Luhansk,Rubizhne,Ukraine,"49.01172808874737, 38.38373531348893"
Donetsk,Marinka,Ukraine,"47.94306579640962, 37.50521350056201"
Kharkiv,Malynivka,Ukraine,"49.79743599583833, 36.7132422126985"
Sumy,Atynske,Ukraine,"51.23586785622653, 34.270743260623384"
Dnipropetrovsk,Pavlohrad,Ukraine,"48.53304983558406, 35.87848962913304"
Kherson,Posad-Pokrovs'ke,Ukraine,"46.80400770782673, 32.26360269101569"
Novosibirsk,Novosibirsk,Russie,"54.986292579800576, 82.97497607328937"
Donetsk,Ocheretyne,Ukraine,"48.243530434787054, 37.61027288185316"
Kharkiv,Chuhuiv,Ukraine,"49.83445517881795, 36.686586771520595"
Kharkiv,Kalynove,Ukraine,"49.434032379279614, 37.49667884533287"
Luhansk,Borivske,Ukraine,"48.86897330318057, 38.562595912892796"
Donetsk,Yampil,Ukraine,"48.93930369483346, 37.95317832312878"
Gomel,Gomel,Biélorussie,"52.42635775099178, 30.97285392432646"
Kharkiv,Pashkove,Ukraine,"48.91985290622525, 37.23107435396671"
Kharkiv,Dovhen’ke,Ukraine,"49.01862380856672, 37.32003082071765"
Kharkiv,Velyka Komyshuvakha,Ukraine,"49.104868522051646, 36.99077479817309"
Luhansk,Orikhove,Ukraine,"48.71917422215043, 38.56432000501949"
Donetsk,Novomykhailivka,Ukraine,"47.85308549230985, 37.48608028616123"
Donetsk,Vremivka,Ukraine,"47.83483148706429, 36.81366838677367"
Kherson,Molodets’ke,Ukraine,"46.691274396186735, 32.296517539031946"
Poltava,Kremenchuk,Ukraine,"49.085766703487586, 33.435951259306954"
Kharkiv,Novaya Dmitrovka,Ukraine,"48.96362964473877, 37.151819527227545"
Luhansk,Severodonetsk,Ukraine,"48.94127074281757, 38.4851334937673"
Donetsk,Lozove,Ukraine,"49.20909975011613, 37.59587370866663"
Luhansk,Novotoshikivs’ke,Ukraine,"48.724794004112425, 38.63138419280881"
Luhansk,Nyzhne,Ukraine,"48.77196197933359, 38.614486207531584"
Donetsk,Koroviy Yar,Ukraine,"49.155740250115606, 37.630992049611514"
Zaporizhia,Zaporozhye,Ukraine,"47.834036731080346, 35.150138537786624"
Vinnytsia,Zhmerynka,Ukraine,"49.03872551983805, 28.104871360215252"
Vinnytsia,Kozyatyn,Ukraine,"49.71272128636621, 28.834613766425818"
Bryansk,Bryansk,Russie,"53.25825919404214, 34.40149870902949"
Kherson,Klapaya,Ukraine,"46.722627863622044, 32.41950256597776"
Kherson,Blahodatne,Ukraine,"46.788845195233826, 32.34326127521977"
Kherson,Kyselivka,Ukraine,"46.756127408706384, 32.409361058780966"
Lviv,Krasne,Ukraine,"49.921026802617895, 24.61653707449729"
,Borovskoye,Russie,"51.838449876251985, 36.263176709172306"
Bryansk,Kletnya,Russie,"53.38999112801105, 33.21514799325238"
Kharkiv,Balakliya,Ukraine,"49.45994654295561, 36.84840452316919"
Luhansk,Kreminna,Ukraine,"49.04535875088959, 38.21973104716899"
Donetsk,Stary Krym,Ukraine,"47.16061812125536, 37.487518777485086"
Kharkiv,Vovchansk,Ukraine,"50.28771498965177, 36.93969180629155"
Sumy,Bilopillia,Ukraine,"51.14726515578665, 34.30537643364373"
Crimée,Simferopol,Ukraine,"44.95187918821726, 34.10165826255148"
Donetsk,Makiivka,Ukraine,"48.057610215728, 37.97890556609023"
Rostov,Rostov,Russie,"47.23435453032142, 39.707643021926586"
Kharkiv,Dibrovne,Ukraine,"48.99037997327798, 37.2519724310245"
Kharkiv,Zavody,Ukraine,"49.15394034083344, 37.06446856310333"
Kherson,Trudolyubivka,Ukraine,"47.44646650373686, 33.698919982912415"
Mykolaïv,Snihurivka,Ukraine,"47.07428039811048, 32.79704437454903"
Donetsk,Krimky,Ukraine,"49.140139246790646, 37.56438413065784"
Kharkiv,Spivakivka,Ukraine,"49.181797164104566, 37.06217732088944"
Kherson,Velyka Oleksandrivka,Ukraine,"47.31978039427016, 33.301178196534"
Kherson,Novovorontsovka,Ukraine,"47.498391469486535, 33.91775892298485"
Mykolaïv,Shyroke,Ukraine,"47.10021472857778, 32.67152173234444"
Mykolaïv,Novopetrivka,Ukraine,"47.05842278904396, 32.67223533491173"
Belgorod,Zuravlevka,Russie,"50.310857053336456, 36.31850696499428"
,Mayak,Moldavie,"47.23705949819564, 29.386646548623705"
Odesa,Pont de Zatoka,Ukraine,"46.07615772592464, 30.46960828051164"
Kyiv,Kozarovychi,Ukraine,"50.757829614686024, 30.359650017135735"
,Rybnitsa,Moldavie,"47.76562490112728, 29.011961524935195"
Mykolaïv,Lyubyne,Ukraine,"47.07930319577448, 32.670114169363416"
Belgorod,Staraya Nelidovka,Russie,"50.46122203443308, 36.49341569399715"
Luhansk,Irmino,Ukraine,"48.59737847935623, 38.584904439961434"
Dnipropetrovsk,Zelenodosk,Ukraine,"47.567172097412026, 33.647940067651405"
Dnipropetrovsk,Maryanske,Ukraine,"47.547114711604436, 33.92410001398826"
Dnipropetrovsk,Velyka Kostromka,Ukraine,"47.53193218968568, 33.720329563302585"
Poltava,Poltava,Ukraine,"49.59725604418975, 34.536609286053235"
Voronezh,Voronezh,Russie,"51.66570696383998, 39.20835800203888"
Kherson,Tavriyskoye,Ukraine,"46.72617622469152, 32.102265706856016"
Kherson,Nova Zorya,Ukraine,"46.7440625401191, 32.094561864869455"
Kharkiv,Izyum,Ukraine,"49.208130606454475, 37.27851241108088"
Zaporizhia,Hulyaipole,Ukraine,"47.66652298413248, 36.260518235932025"
Kharkiv,Slobozhansky ,Ukraine,"49.59066815827798, 36.530128913896206"
Zaporizhia,Polohy,Ukraine,"47.480414172171315, 36.25172838738778"
Zaporizhia,Fedorivka,Ukraine,"47.545405795000015, 36.55242317366693"
Kherson,Kherson,Ukraine,"46.64881679061246, 32.6166473281247"
Donetsk,Staromaiors'ke,Ukraine,"47.75191715945704, 36.795096383535295"
Transnistrie,Cobasna,Moldavie,"47.780191085980135, 29.21030716662101"
Kursk,Kursk,Russie,"51.724878514267736, 36.179813902901344"
Zaporizhia,Zaporizhia,Ukraine,"47.83146967745126, 35.164075150003555"
Belgorod,Belgorod,Russie,"50.59733112430049, 36.59031529537698"
Dnipropetrovsk,Kryvyi Rih,Ukraine,"47.912967240793236, 33.41335550667302"
Kharkiv,Kupiansk,Ukraine,"49.70997702353432, 37.611898887432474"
Donetsk,Donetsk,Ukraine,"48.012762198797, 37.799042237797366"
Zaporizhia,Kamyana Mohyla,Ukraine,"46.95051126989316, 35.47016235090855"
,Kozinsky,,
Kherson,Velyka Lepetykha,Ukraine,"47.16994962890977, 33.94686324669604"
Luhansk,Severodonetsk,Ukraine,"48.94584548166668, 38.485062502126326"
Zaporizhia,Orikhiv,Ukraine,"47.5612357925058, 35.78621037665636"
,Tiraspol,Moldavie,"46.84198864578441, 29.63133137537567"
Luhansk,Slobozhanshchyna,Ukraine,"49.41242105469395, 38.15083172856665"
Kharkiv,Nova Dmytrivka,Ukraine,"48.96455547989601, 37.15480536794676"
Donetsk,Kurakhovo,Ukraine,"47.987993869081066, 37.274131323188236"
Kharkiv,Levkivka,Ukraine,"49.29210273788439, 37.14543066407761"
Kherson,Stanislav,Ukraine,"46.5701086965389, 32.14537405732526"
Zaporizhia,Vasylivka,Ukraine,"47.43903137222524, 35.285049210121834"
Donetsk,New York,Ukraine,"48.32831751535468, 37.84421516692628"
Saratov,Saratov,Russie,"51.52868288610285, 46.03944673573411"
Kharkiv,Virnopillya,Ukraine,"49.03275260823508, 37.125979891285816"
Brest,Baranovichi,Biélorussie,"53.12764863674943, 26.006003581203107"
Kharkiv,Brazhkivka,Ukraine,"49.042452253126584, 37.21437829572889"
Donetsk,Solodke,Ukraine,"47.788704671848485, 37.491848970582026"
Donetsk,Neskuchne,Ukraine,"47.81659380431998, 36.809618187969825"
Zaporizhia,Yakimivka,Ukraine,"46.69653207150993, 35.159455380586756"
Kyiv,Kyiv,Ukraine,"50.439760924951955, 30.491464585237384"
Donetsk,Kirovsky,Ukraine,"48.148521291553294, 38.35996138670771"
Kharkiv,Kozacha Lopan,Ukraine,"50.329667783409505, 36.18927180706761"
Donetsk,Velyka Novosilka,Ukraine,"47.84050752199172, 36.83711440392308"
Donetsk,Novopil,Ukraine,"47.80837895876116, 36.623736094385045"
Kharkiv,Ruska Lozova,Ukraine,"50.14202038118326, 36.276778762803744"
Kharkiv,Lisne,Ukraine,"50.11025684670415, 36.27212290267778"
Donetsk,Yehorivka,Ukraine,"47.70810082366886, 37.224547336086914"
Kharkiv,Momotove,Ukraine,"50.05584987397031, 36.45774584593921"
Kharkiv,Stary Saltov,Ukraine,"50.07423329490114, 36.78855918892511"
Kherson,Myrolubivka,Ukraine,"46.728072267632356, 32.29672540506422"
Kherson,Soldatske,Ukraine,"46.76019596169595, 32.24869781781886"
Kharkiv,Prelesne,Ukraine,"50.023003625661914, 36.44762116332853"
Kharkiv,Slobidske,Ukraine,"50.01856727031186, 36.448580041827924"
Kharkiv,Sorokivka,Ukraine,"50.001706443550184, 36.53997913739486"
Kharkiv,Verkhnya Rohanka,Ukraine,"50.02472275903636, 36.55561968667001"
Donetsk,Drobysheve,Ukraine,"49.040895376635035, 37.729167895133145"
Donetsk,Zelene Pole,Ukraine,"47.82909997422777, 36.621743808067"
Dnipropetrovsk,Kamyanske,Ukraine,"48.5186154989355, 34.62574705653432"
Belgorod,Tamarovka,Russie,"50.67968153019304, 36.2349646877122"
Kharkiv,Zabavne,Ukraine,"49.285317850193735, 37.2283551827835"
Tver,Tver,Russie,"56.86405900333655, 35.91349682135092"
,île des serpents,Ukraine,"45.25497360527378, 30.20362610388108"
Kharkiv,Sulyhivka,Ukraine,"49.02924972316232, 37.24549378015606"
Kherson,Knyazivka,Ukraine,"47.52251649504313, 33.521801648282434"
Kherson,Osokorivka,Ukraine,"47.433786931383594, 33.92446962892162"
Kherson,Zahradivka,Ukraine,"47.52313069154457, 33.2775324618438"
Donetsk,Ozerene,Ukraine,"48.897154841140896, 37.90790446515406"
Donetsk,Dibrova,Ukraine,"48.917753082706234, 37.854301335760645"
Donetsk,Stavky,Ukraine,"49.04732700338522, 37.832393680870965"
Zaporizhia,Tokmak,Ukraine,"47.25127700648273, 35.710167213081824"
Mykolaïv,Mykolaïv,Ukraine,"46.956749426104274, 32.02651328135257"
Moscou,Moscou,Russie,"55.74794539086807, 37.61774696572792"
Voronezh,Boguchar,Russie,"49.93473498539227, 40.55479075287852"
Donetsk,Volnovakha,Ukraine,"47.600434264155425, 37.494154024362444"
,Pervomaysk,Moldavie,"46.73769231521228, 29.964773861235223"
Donetsk,Vuhledar,Ukraine,"47.779682857526595, 37.24895571576677"
Kharkiv,Udy,Ukraine,"50.39134909463943, 36.0636558065381"
Perm,Perm,Russie,"58.008800806767916, 56.233881845509124"
Kharkiv,Molodova,Ukraine,"50.03865117664742, 36.77415671580151"
Kherson,Barvinok,Ukraine,"46.809939489405615, 32.45234721248465"
Kharkiv,Dovgenke,Ukraine,"49.01907411803719, 37.3214041116111"
Kyiv,Fastov,Ukraine,"50.078135737579586, 29.907135887995032"
Mykolaïv,Ivanivka,Ukraine,"47.114133814597025, 31.32288516293186"
Donetsk,Krymky,Ukraine,"49.14029993756598, 37.564216564932025"
Kharkiv,Kutuzivka,Ukraine,"50.04194592874308, 36.468459577375484"
Lviv,Lviv,Ukraine,"49.839067436485685, 24.024345683127816"
Zaporizhia,Melitopol,Ukraine,"46.847028239573625, 35.37687644663882"
Kharkiv,Oskil,Ukraine,"49.17516812157574, 37.4292829076982"
Kharkiv,Shchaslyve,Ukraine,"49.31050769982125, 37.1639089023266"
Belgorod,Solomino,Russie,"50.5052390207753, 36.64115283064185"
Kursk,Sudza,Russie,"51.19838983840155, 35.27285663398614"
Belgorod,Zarechnoye,Russie,"50.637147360293454, 36.09314199164145"
Belgorod,zhuravleka,Russie,"50.311734059064236, 36.31850699319588"
Donetsk,Kirovske,Ukraine,"48.14576599431674, 38.362753192813564"
Donetsk,Soledar,Ukraine,"48.69123376904147, 38.07375391608814"
Dnipropetrovsk,Dnipro,Ukraine,"48.46961030350206, 35.05266820470753"
Donetsk,Shandryholove,Ukraine,"49.100083657693055, 37.722501980435105"
Kharkiv,Grushuvakha,Ukraine,"49.11273800533136, 36.90092509195185"
Luhansk,Komishuvakha,Ukraine,"48.69461107137136, 38.38732113148286"
Zaporizhia,Orichiv,Ukraine,"47.563015254648676, 35.78260397333332"
Luhansk,Voevodivka,Ukraine,"48.97958651850819, 38.450321379191124"
Donetsk,Kramatorsk,Ukraine,"48.72930088575102, 37.571081167338924"
Kharkiv,Protopopivka,Ukraine,"49.24384501735886, 36.91327845444617"
Donetsk,Novosilka,Ukraine,"47.83774444202118, 36.684896181320205"
Bryansk,Novi Yurkovichi,Russie,"52.12211710789064, 31.86080229967962"
Bryansk,Pohar,Russie,"52.55294940296569, 33.25876876948991"
Bryansk,Lomakovka,Russie,"52.30165775025658, 32.65467238633195"
Kherson,Tomyna Balka,Ukraine,"46.623868320332036, 32.307261169184216"
Kharkiv,Ruski Tyshky,Ukraine,"50.13547796194258, 36.417612765048034"
Kharkiv,Studenok,Ukraine,"49.089648755046845, 37.48437378947597"
Khanty-Mansi,Nizhnevartovsk,Russie,"60.9342528629384, 76.5644912162274"
Ossétie du nord,Vladikavkaz,Russie,"43.03770451798002, 44.66925758446577"
Saratov,Bezymyannoye,Russie,"51.33582267769087, 46.439748241080785"
Luhansk,Voronove,Ukraine,"48.89937190706986, 38.57571875110605"
Zaporizhia,Temirovka,Ukraine,"47.82508404506834, 36.570875831024765"
Zaporizhia,Uspenivka,Ukraine,"47.77635962842861, 36.38970899956351"
Zaporizhia,Rivnopillya,Ukraine,"47.74291937404493, 36.31444363684436"
Donetsk,Avdiyevka Kurakhivja,Ukraine,"48.13762628634196, 37.74873349044839"
Donetsk,Serhiivka,Ukraine,"48.30974678829382, 36.92625456197856"
Donetsk,Volodymyrivka,Ukraine,"47.73516690976406, 37.38120091597758"
Dnipropetrovsk,Kamenskoye,Ukraine,"48.52498822971881, 34.613227516123565"
Donetsk,Bezimenne,Ukraine,"47.1073575242592, 37.9365493560406"
Kharkiv,Shestakove,Ukraine,"50.06791010265777, 36.62368443348708"
Kharkiv,Peremoha,Ukraine,"50.112278165530455, 36.661930173198236"
Kharkiv,Ukrainika,Ukraine,"50.113183306155484, 36.704101775404375"
Kharkiv,Cherkasky Tyshky,Ukraine,"50.117939522649536, 36.37622766451381"
Kharkiv,Liptsy,Ukraine,"50.21059073086266, 36.409882977437974"
Kharkiv,Tsyrkuny,Ukraine,"50.084073555714255, 36.385627427061586"
Kharkiv,Ruski Tyshky,Ukraine,"50.135172710109345, 36.40503620404642"
Kharkiv,Buhruvatka,Ukraine,"50.256502038051075, 36.82132494266929"
Poltava,Karlivka,Ukraine,"49.453201435589826, 35.13128489533144"
Kharkiv,Skovorodynivka,Ukraine,"50.15650289730172, 35.77334008954795"
Donetsk,Kostyantynivka,Ukraine,"48.526535866941316, 37.70451222122623"
Donetsk,Bakhmut,Ukraine,"48.59495129547545, 38.00129737422985"
Zaporizhia,Schcherbaky,Ukraine,"47.54987321302022, 35.58068301883552"
Kharkiv,Olhivka,Ukraine,"49.24392490664936, 37.85063971748645"
Kharkiv,Boguslavka,Ukraine,"49.47285466482571, 37.68560550189329"
Kharkiv,Serednje,Ukraine,"49.12328656626699, 37.70623409837334"
Donetsk,Novoselivka,Ukraine,"48.271122195378304, 37.84472561402257"
Luhansk,Toshkivka,Ukraine,"48.78114990576786, 38.56254950980018"
Donetsk,Yasinovataya,Ukraine,"48.125108816680566, 37.861574619554546"
Kharkiv,Vovchansk,Ukraine,"50.28667331550624, 36.941328543114416"
Kharkiv,Slatyne,Ukraine,"50.212839269722345, 36.15698279637342"
Zaporizhia,Poltavka,Ukraine,"47.71551924891703, 36.48432692837917"
Zaporizhia,Burchak,Ukraine,"47.374694679210165, 35.30767977147755"
Voronezh,Rossosh,Russie,"50.1911394285242, 39.58818841031916"
Luhansk,Bilohorivka,Ukraine,"48.925715933733464, 38.24768360450211"
Kharkiv,Kamyanka,Ukraine,"49.124662764484746, 37.29435936703664"
Luhansk,Lysychansk,Ukraine,"48.90367640078319, 38.43618392493281"
Crimée,Filativka,Ukraine,"46.0816349895308, 33.784688430677896"
Donetsk,Oleksandrivka D,Ukraine,"49.11568246318548, 37.59024225336948"
Donetsk,Yasna Polyana,Ukraine,"48.746534575409775, 37.52161962074275"
Kherson,Heroyske,Ukraine,"46.514233515001045, 31.894243417090575"
Kherson,Hola Prystan,Ukraine,"46.528557586158776, 32.5228921354154"
Kharkiv,Borshchova,Ukraine,"50.16337245902099, 36.4180483515934"
Kharkiv,Lyptsi,Ukraine,"50.20869831600678, 36.411678330657786"
Kharkiv,Velykyi Burluk,Ukraine,"50.060271204045556, 37.384443508928754"
Kharkiv,Hrushuvakha,Ukraine,"49.11212081860621, 36.89984686986415"
Kharkiv,Bairak,Ukraine,"50.048737561318525, 36.43152262337645"
Kharkiv,Zamulivka,Ukraine,"50.13561762934789, 36.76500959611571"
Kharkiv,Verkhnii Saltiv,Ukraine,"50.1335724817911, 36.79999289692255"
Kharkiv,Rubizhne K,Ukraine,"50.161688071873634, 36.81814508860863"
Crimée,Sevastopol,Ukraine,"44.600471315021906, 33.53004366201702"
Chernihiv,Karpovychi,Ukraine,"52.215012147334264, 32.38178478400706"
Chernihiv,Sentivka,Ukraine,"52.10644429753715, 31.780647418736685"
Donetsk,Kamyanka,Ukraine,"48.17295239656415, 37.78375770720253"
Kharkiv,Rusky Tyshky,Ukraine,"50.13205295457752, 36.41911658922921"
Kharkiv,Bazaliivka,Ukraine,"49.82868137468126, 36.987631382150134"
Kharkiv,Lebyazhe,Ukraine,"49.801855798839526, 36.905667206259075"
Kharkiv,Korochkyne,Ukraine,"49.77731099374788, 36.8147390556276"
Kharkiv,Pytomnyk,Ukraine,"50.17055444098417, 36.26455178773137"
Kharkiv,Ternova,Ukraine,"50.18846991531601, 36.67575111451887"
Kherson,Bruskinske,Ukraine,"47.157732539874125, 33.21022493224623"
Kherson,Velyka Oleksandrivka,Ukraine,"47.32208777787283, 33.30110770640114"
Donetsk,Svitlodarsk,Ukraine,"48.43469232245346, 38.219803434629796"
Luhansk,Troyitske,Ukraine,"48.525790792463475, 38.363863760882744"
Chernihiv,Novhorod-siverskyi,Ukraine,"52.006710223583795, 33.26472396760959"
Chernihiv,Chernihiv,Ukraine,"51.49640754037608, 31.283066223154183"
Donetsk,Novokalynove,Ukraine,"48.24691951515862, 37.6906035292392"
Donetsk,Novobakhmutivka,Ukraine,"48.225570824020295, 37.620072132665875"
Kherson,Nova Kakhovka,Ukraine,"46.75687336361813, 33.367250658213784"
Khabarovsk,Teysin,Russie,"50.02275022867265, 136.43448172449132"
Kharkiv,Petrivka,Ukraine,"50.11161973489713, 36.521391761887344"
Luhansk,Pryvillya,Ukraine,"49.005653798040136, 38.30014499877201"
Donetsk,Bohorodychne,Ukraine,"49.016727699818325, 37.5054195275492"
Donetsk,Krasnopillya,Ukraine,"48.99343501302682, 37.43128428740323"
Donetsk,Dolyna,Ukraine,"48.99831799944231, 37.433062615795215"
Donetsk,Adamivka,Ukraine,"48.94270550707137, 37.448416740389185"
Donetsk,Novoselivka Druha,Ukraine,"48.20760506840867, 37.79179293924949"
Luhansk,Zolotye,Ukraine,"48.69448838230866, 38.51251419928773"
Mykolaïv,Kotlyareve,Ukraine,"46.88569454531377, 32.22373369386778"
Dnipropetrovsk,Hannivka,Ukraine,"47.514574341058626, 33.30020319386199"
